DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 11:58:08
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
0.00	0.025940	-0.001831	0.046997	-0.011597	0.019226	0.002441	0.017090	-0.000305	
0.01	0.026245	0.001526	0.048523	-0.011902	0.021362	0.000916	0.015869	0.001831	
0.02	0.025635	0.003662	0.044861	-0.010376	0.020142	0.001526	0.018311	-0.000305	
0.03	0.025635	-0.001526	0.044250	-0.009766	0.019531	0.001526	0.016785	0.000305	
0.04	0.028992	0.003052	0.047913	-0.009766	0.022278	-0.001526	0.018311	0.000305	
0.05	0.026550	0.005188	0.048828	-0.009155	0.019226	0.002747	0.019226	0.003357	
0.06	0.027466	-0.003357	0.048218	-0.011292	0.025330	0.002441	0.015564	0.002747	
0.07	0.022888	-0.001526	0.045166	-0.010071	0.021057	0.002747	0.018005	0.002136	
0.08	0.029297	-0.001526	0.044556	-0.012207	0.019836	0.002441	0.017395	0.002747	
0.09	0.026855	0.001831	0.044556	-0.011292	0.020142	0.000305	0.020447	-0.001526	
0.10	0.027466	-0.001526	0.044556	-0.015564	0.020752	0.000610	0.018616	0.000610	
0.11	0.026245	-0.000916	0.047302	-0.011597	0.020752	0.003052	0.017700	0.003052	
0.12	0.026550	0.003052	0.044556	-0.008240	0.020447	0.003052	0.017090	0.000916	
0.13	0.027466	0.000305	0.048828	-0.010071	0.020447	0.000610	0.015564	0.002441	
0.14	0.028076	0.002441	0.048218	-0.011902	0.022583	0.004272	0.017395	0.001831	
0.15	0.026855	-0.002747	0.046082	-0.008850	0.021667	0.002747	0.018921	0.000000	
0.16	0.025940	0.000000	0.045776	-0.011292	0.021667	0.000610	0.020752	0.002441	
0.17	0.025635	-0.001831	0.045471	-0.009155	0.019226	0.002747	0.017700	0.001831	
0.18	0.027771	0.004578	0.047607	-0.013428	0.021973	0.004578	0.018311	-0.000610	
0.19	0.025635	0.003967	0.049438	-0.012207	0.017700	0.003052	0.018311	0.000916	
0.20	0.024414	-0.001221	0.046387	-0.011597	0.023804	0.003662	0.017090	-0.000305	
0.21	0.025635	0.000305	0.045166	-0.009766	0.024109	0.000000	0.020447	0.002441	
0.22	0.027771	-0.001526	0.048828	-0.012817	0.021057	0.003357	0.018616	0.002441	
0.23	0.025635	0.000000	0.043945	-0.010681	0.020447	0.001831	0.016479	0.000916	
0.24	0.027771	0.001526	0.046997	-0.010986	0.020447	0.004272	0.015869	0.004272	
0.25	0.026855	-0.000305	0.048523	-0.012207	0.021667	0.003052	0.017395	0.002441	
0.26	0.030518	-0.000305	0.050659	-0.010986	0.021667	0.002136	0.019226	0.001831	
0.27	0.028992	0.003357	0.049133	-0.009460	0.026245	0.004578	0.018921	0.003357	
0.28	0.026855	-0.002747	0.046082	-0.009766	0.020752	0.002747	0.019226	-0.001221	
0.29	0.024719	-0.001221	0.045471	-0.010681	0.018311	0.004272	0.017090	0.002136	
0.30	0.025635	-0.000305	0.046692	-0.012512	0.022278	0.002136	0.019531	-0.000610	
0.31	0.026855	-0.000305	0.046997	-0.011597	0.020447	-0.000305	0.017090	0.001526	
0.32	0.023499	-0.001526	0.042114	-0.013428	0.020752	0.000916	0.018311	-0.001526	
0.33	0.025940	0.000000	0.044250	-0.007019	0.018616	0.004578	0.017395	0.003967	
0.34	0.024414	-0.001831	0.046387	-0.011292	0.021667	0.002747	0.020752	0.003357	
0.35	0.028076	0.002441	0.046997	-0.010071	0.021973	0.006104	0.017090	0.000916	
0.36	0.026550	-0.000610	0.045166	-0.008240	0.024414	0.003357	0.017090	-0.002747	
0.37	0.026855	-0.000305	0.046082	-0.012512	0.018921	-0.000305	0.017090	0.002441	
0.38	0.026855	-0.001526	0.045776	-0.014343	0.021362	0.000916	0.016174	0.003662	
0.39	0.022278	0.003662	0.045166	-0.010681	0.019531	0.000610	0.016785	0.002136	
0.40	0.025635	0.000305	0.043335	-0.010071	0.021057	0.002136	0.017700	0.002136	
0.41	0.025330	-0.000610	0.045166	-0.011292	0.022583	0.001526	0.021057	-0.001526	
0.42	0.024109	-0.001526	0.046997	-0.012512	0.021667	0.003662	0.018311	0.002136	
0.43	0.027161	-0.001221	0.047302	-0.008545	0.019226	0.001831	0.018921	0.000305	
0.44	0.028076	0.002136	0.044250	-0.006409	0.020752	0.001526	0.016785	0.003052	
0.45	0.026245	0.000305	0.048218	-0.012512	0.021667	0.000305	0.016174	-0.000305	
0.46	0.025940	0.003967	0.046997	-0.010681	0.021667	0.002747	0.016479	-0.001221	
0.47	0.025635	-0.000610	0.047913	-0.012817	0.021973	-0.001526	0.018921	0.000610	
0.48	0.024414	0.000610	0.044861	-0.014648	0.024109	0.002441	0.019226	0.002441	
0.49	0.025940	-0.000305	0.048828	-0.011597	0.021057	0.002136	0.016479	0.004272	
0.50	0.028687	0.002441	0.046997	-0.011597	0.022278	0.004272	0.017090	0.002441	
0.51	0.024414	-0.000610	0.043030	-0.008850	0.018921	0.001831	0.015259	0.003052	
0.52	0.027161	-0.000305	0.046387	-0.011292	0.023499	0.002441	0.020142	-0.001526	
0.53	0.026550	0.002747	0.047302	-0.011292	0.022583	-0.000916	0.018311	-0.002441	
0.54	0.023804	-0.003662	0.047913	-0.010681	0.020752	0.002747	0.018921	0.000916	
0.55	0.026245	-0.001831	0.041504	-0.012207	0.021057	0.005798	0.017700	0.004883	
0.56	0.026245	-0.000305	0.048218	-0.008240	0.022888	0.005188	0.017090	0.002747	
0.57	0.030212	-0.000916	0.044250	-0.013123	0.021057	0.002747	0.018311	0.003357	
0.58	0.025635	-0.002747	0.048218	-0.013123	0.018921	0.002136	0.019531	0.001526	
0.59	0.025330	0.003967	0.048218	-0.010681	0.021667	0.001831	0.018005	0.000916	
0.60	0.028076	0.001526	0.043335	-0.010681	0.022583	0.000916	0.015564	0.001831	
0.61	0.025330	-0.002136	0.046692	-0.014648	0.019226	0.003662	0.017395	-0.000916	
0.62	0.026245	0.000916	0.043030	-0.010986	0.020447	0.002136	0.016479	0.004883	
0.63	0.026245	-0.000305	0.045776	-0.013733	0.019836	-0.000305	0.018005	0.001831	
0.64	0.027466	0.000305	0.045776	-0.012817	0.021973	0.002747	0.017395	0.000916	
0.65	0.027771	-0.002136	0.047913	-0.011292	0.021362	0.003967	0.018921	0.003357	
0.66	0.028992	0.003662	0.047302	-0.008850	0.020447	0.003052	0.015259	0.000916	
0.67	0.025024	-0.000305	0.049133	-0.009766	0.022278	0.003052	0.018616	0.000305	
0.68	0.025635	0.004272	0.046692	-0.013428	0.021057	0.002441	0.017700	0.001831	
0.69	0.025635	0.000916	0.047302	-0.010986	0.021973	0.000916	0.018616	0.003967	
0.70	0.028381	0.003052	0.046997	-0.014954	0.021057	0.001526	0.018311	0.002136	
0.71	0.027466	0.002136	0.045776	-0.008240	0.018616	-0.000610	0.015259	0.000000	
0.72	0.027771	-0.001831	0.045776	-0.008850	0.021362	-0.000305	0.016174	-0.001221	
0.73	0.025024	-0.001526	0.046692	-0.006104	0.023193	0.005493	0.016479	0.002747	
0.74	0.027161	0.005493	0.050049	-0.011597	0.021057	0.002136	0.017700	0.002441	
0.75	0.025024	0.002441	0.046692	-0.013733	0.019226	-0.000916	0.018921	0.003662	
