DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 11:28:24
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
0.00	0.262146	-0.253906	0.497437	-0.456848	0.364075	-0.320435	0.356445	-0.329590	
0.01	0.267639	-0.255737	0.499878	-0.458679	0.367737	-0.318298	0.357056	-0.329895	
0.02	0.268555	-0.258789	0.498657	-0.459290	0.365906	-0.320129	0.357361	-0.329590	
0.03	0.269470	-0.254517	0.501709	-0.459900	0.363159	-0.320740	0.355530	-0.328674	
0.04	0.266724	-0.256042	0.502319	-0.463867	0.365601	-0.320740	0.358276	-0.327454	
0.05	0.270386	-0.256348	0.503235	-0.460205	0.365295	-0.321045	0.355835	-0.327148	
0.06	0.267639	-0.250854	0.500793	-0.460510	0.364075	-0.321045	0.355835	-0.326843	
0.07	0.269165	-0.256042	0.501404	-0.461426	0.366211	-0.321350	0.358582	-0.329285	
0.08	0.267639	-0.252075	0.499878	-0.457458	0.365295	-0.319519	0.356140	-0.327148	
0.09	0.269165	-0.252991	0.502625	-0.460205	0.367126	-0.322266	0.357361	-0.327454	
0.10	0.266113	-0.255737	0.502625	-0.459900	0.366516	-0.318909	0.356750	-0.325623	
0.11	0.265198	-0.255432	0.497131	-0.459595	0.365601	-0.319519	0.355530	-0.327148	
0.12	0.266724	-0.252075	0.495605	-0.457153	0.361633	-0.317993	0.352478	-0.321350	
0.13	0.264282	-0.247192	0.492249	-0.452576	0.361328	-0.319214	0.352783	-0.323792	
0.14	0.266113	-0.249329	0.492554	-0.451050	0.361328	-0.312500	0.351868	-0.323792	
0.15	0.262451	-0.248108	0.488892	-0.452271	0.359802	-0.312500	0.353088	-0.319214	
0.16	0.261230	-0.247498	0.488586	-0.447998	0.359497	-0.316467	0.349426	-0.321045	
0.17	0.265808	-0.249939	0.488892	-0.449524	0.361328	-0.314026	0.354004	-0.321045	
0.18	0.261841	-0.250244	0.490112	-0.446167	0.356750	-0.313416	0.352783	-0.321655	
0.19	0.263672	-0.249939	0.491943	-0.447388	0.363770	-0.317078	0.351257	-0.323486	
0.20	0.259705	-0.246582	0.489807	-0.450134	0.360413	-0.314331	0.349731	-0.322571	
0.21	0.263977	-0.248108	0.487061	-0.447083	0.356750	-0.312805	0.350037	-0.321045	
0.22	0.265808	-0.248718	0.488586	-0.450745	0.359802	-0.316467	0.351563	-0.319214	
0.23	0.262146	-0.250854	0.486450	-0.450134	0.358582	-0.313416	0.352173	-0.325623	
0.24	0.259094	-0.246277	0.490417	-0.450745	0.359802	-0.311584	0.350647	-0.321960	
0.25	0.260925	-0.253296	0.493774	-0.451355	0.361328	-0.315857	0.353394	-0.321960	
