DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 11:33:58
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
0.00	-0.191040	0.219727	-0.333252	0.382385	-0.122070	0.144348	-0.130005	0.163879	
0.01	-0.187988	0.218506	-0.335693	0.383606	-0.122375	0.146484	-0.126953	0.164490	
0.02	-0.189209	0.219421	-0.334167	0.385132	-0.126343	0.146790	-0.129089	0.164490	
0.03	-0.189514	0.219116	-0.338745	0.378723	-0.126648	0.147095	-0.129089	0.163879	
0.04	-0.187988	0.220032	-0.335083	0.381775	-0.126038	0.146179	-0.130920	0.163879	
0.05	-0.186462	0.220642	-0.334778	0.388184	-0.126343	0.146179	-0.126038	0.167542	
0.06	-0.186768	0.217285	-0.334473	0.382080	-0.126038	0.143433	-0.130310	0.164185	
0.07	-0.188904	0.219116	-0.334778	0.379639	-0.126648	0.144348	-0.130005	0.161743	
0.08	-0.188293	0.220337	-0.329590	0.382996	-0.126648	0.148926	-0.128479	0.164185	
0.09	-0.184631	0.223694	-0.338135	0.381470	-0.125427	0.146484	-0.129700	0.161438	
0.10	-0.186462	0.217896	-0.337524	0.383606	-0.122986	0.146179	-0.129089	0.165710	
0.11	-0.187073	0.225830	-0.333557	0.386353	-0.125122	0.150452	-0.126038	0.166931	
0.12	-0.186462	0.221863	-0.333862	0.382080	-0.125427	0.144348	-0.127563	0.162048	
0.13	-0.187683	0.216675	-0.336914	0.381470	-0.124207	0.147400	-0.128174	0.165710	
0.14	-0.185242	0.220947	-0.333862	0.385132	-0.125122	0.149536	-0.126648	0.166016	
0.15	-0.184631	0.220032	-0.334778	0.382996	-0.124512	0.146179	-0.129700	0.162659	
0.16	-0.187683	0.220947	-0.335999	0.386353	-0.126038	0.148010	-0.128174	0.162964	
0.17	-0.190125	0.222168	-0.335083	0.382690	-0.123596	0.148010	-0.128174	0.161438	
0.18	-0.186768	0.222168	-0.333862	0.380859	-0.124817	0.149231	-0.130005	0.163879	
0.19	-0.187683	0.220947	-0.335693	0.383911	-0.123596	0.146179	-0.126953	0.161133	
0.20	-0.188293	0.219116	-0.334778	0.382996	-0.125732	0.145569	-0.129089	0.162964	
0.21	-0.188293	0.220642	-0.335999	0.382996	-0.125732	0.148010	-0.126953	0.165100	
0.22	-0.187073	0.220642	-0.334778	0.382690	-0.127563	0.145569	-0.129700	0.161743	
0.23	-0.185852	0.222168	-0.337524	0.384216	-0.125427	0.147705	-0.130005	0.163269	
0.24	-0.188904	0.224304	-0.334473	0.382385	-0.124512	0.145569	-0.129089	0.162048	
0.25	-0.186768	0.219727	-0.333557	0.383911	-0.127869	0.147095	-0.128174	0.164490	
0.26	-0.186157	0.220032	-0.334778	0.384827	-0.122375	0.147705	-0.128174	0.163269	
0.27	-0.184326	0.219116	-0.337524	0.380249	-0.126038	0.145569	-0.129089	0.164185	
0.28	-0.186157	0.219421	-0.336914	0.383606	-0.125732	0.146484	-0.128784	0.162048	
0.29	-0.185547	0.220032	-0.334778	0.385132	-0.122681	0.148010	-0.126953	0.166626	
0.30	-0.185852	0.220337	-0.334167	0.385742	-0.127869	0.146790	-0.131226	0.162659	
0.31	-0.190735	0.218811	-0.334473	0.382385	-0.126648	0.145264	-0.129700	0.164185	
0.32	-0.187378	0.221558	-0.334473	0.385132	-0.126648	0.149231	-0.128784	0.166016	
0.33	-0.184631	0.219727	-0.336609	0.380554	-0.125427	0.145264	-0.128479	0.163574	
0.34	-0.184631	0.221252	-0.335083	0.379944	-0.124207	0.146484	-0.129089	0.164185	
0.35	-0.184021	0.223694	-0.335999	0.381775	-0.126038	0.147400	-0.129395	0.159912	
0.36	-0.187683	0.220337	-0.333252	0.381775	-0.125122	0.148010	-0.126953	0.164490	
0.37	-0.186157	0.219116	-0.336304	0.383911	-0.125427	0.148010	-0.130615	0.165100	
0.38	-0.185242	0.221558	-0.336304	0.382080	-0.126648	0.147400	-0.127869	0.165405	
0.39	-0.188599	0.217590	-0.335999	0.382996	-0.128174	0.147705	-0.126648	0.165100	
0.40	-0.185852	0.224609	-0.334778	0.382690	-0.122375	0.145569	-0.129089	0.163574	
0.41	-0.186157	0.217590	-0.335083	0.383606	-0.124512	0.147400	-0.129700	0.162659	
0.42	-0.189209	0.218811	-0.333252	0.382690	-0.124207	0.146179	-0.129700	0.162354	
0.43	-0.187073	0.219421	-0.330200	0.382385	-0.121765	0.144958	-0.127258	0.164795	
0.44	-0.189819	0.218506	-0.335388	0.384827	-0.127869	0.147400	-0.127563	0.166016	
0.45	-0.185547	0.219116	-0.335388	0.382690	-0.127563	0.146179	-0.130005	0.163269	
0.46	-0.187988	0.223083	-0.338135	0.382080	-0.126038	0.150146	-0.125732	0.166321	
0.47	-0.183411	0.217896	-0.335999	0.382996	-0.122681	0.145264	-0.129089	0.162048	
0.48	-0.185852	0.217590	-0.332947	0.383911	-0.121460	0.147400	-0.128784	0.164185	
0.49	-0.189819	0.220947	-0.335999	0.385437	-0.126038	0.144348	-0.127563	0.165405	
0.50	-0.187073	0.220642	-0.333252	0.382385	-0.125427	0.146790	-0.127258	0.162659	
0.51	-0.188599	0.224915	-0.337524	0.382996	-0.127869	0.146484	-0.130005	0.163269	
0.52	-0.184021	0.223389	-0.336304	0.382385	-0.123596	0.146179	-0.127563	0.164490	
0.53	-0.187378	0.220337	-0.339050	0.383606	-0.123596	0.147400	-0.130005	0.164795	
0.54	-0.190735	0.224915	-0.335388	0.383606	-0.126343	0.146179	-0.128174	0.164185	
0.55	-0.186768	0.216064	-0.339355	0.380249	-0.124512	0.147095	-0.128174	0.164185	
0.56	-0.190125	0.220947	-0.334778	0.380554	-0.124207	0.146790	-0.126038	0.165405	
0.57	-0.184021	0.220337	-0.336914	0.383911	-0.124817	0.146179	-0.130310	0.162354	
0.58	-0.186462	0.218506	-0.337524	0.383606	-0.127563	0.147400	-0.131226	0.164795	
0.59	-0.184937	0.220947	-0.336914	0.380249	-0.126953	0.146179	-0.129089	0.162354	
0.60	-0.190125	0.219727	-0.334167	0.382690	-0.123901	0.145874	-0.131226	0.165710	
0.61	-0.187073	0.222778	-0.336914	0.383911	-0.127258	0.143738	-0.128784	0.162048	
0.62	-0.187073	0.218506	-0.332031	0.382385	-0.123596	0.146179	-0.129089	0.165100	
0.63	-0.185852	0.222168	-0.336304	0.379944	-0.124512	0.146179	-0.129089	0.162354	
0.64	-0.188599	0.217285	-0.332031	0.382996	-0.126953	0.146179	-0.124512	0.163269	
0.65	-0.185852	0.218811	-0.334473	0.384521	-0.126038	0.148010	-0.130310	0.164795	
