DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 11:13:20
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
0.00	0.007324	0.014038	0.020447	0.020142	0.007629	0.008850	0.007019	0.009766	
0.01	0.009460	0.015259	0.015259	0.017395	0.008240	0.010071	0.007935	0.012512	
0.02	0.010986	0.012817	0.020142	0.016174	0.005798	0.006409	0.007629	0.010986	
0.03	0.010376	0.013428	0.020142	0.015259	0.006409	0.006714	0.014648	0.010071	
0.04	0.010071	0.011597	0.018311	0.017395	0.006714	0.005493	0.006714	0.009155	
0.05	0.012817	0.012817	0.019836	0.020142	0.007629	0.012207	0.007629	0.007629	
0.06	0.012207	0.017090	0.019836	0.021667	0.007935	0.008545	0.008850	0.010376	
0.07	0.012512	0.014343	0.016174	0.017395	0.007324	0.008545	0.006714	0.011292	
0.08	0.009766	0.016174	0.015869	0.014038	0.010376	0.008240	0.006714	0.010986	
0.09	0.009155	0.014343	0.018311	0.015869	0.008850	0.007019	0.009155	0.010681	
0.10	0.009766	0.015869	0.017700	0.014648	0.011902	0.007324	0.009460	0.010986	
0.11	0.007935	0.014954	0.017700	0.014648	0.008850	0.006714	0.008240	0.011292	
0.12	0.008850	0.012207	0.017090	0.018616	0.006714	0.007629	0.008850	0.012207	
0.13	0.011597	0.019531	0.017090	0.016479	0.008545	0.005493	0.006104	0.010376	
0.14	0.010376	0.015259	0.016785	0.017090	0.007629	0.007935	0.007935	0.012817	
0.15	0.009155	0.010376	0.022278	0.014648	0.005188	0.007324	0.007019	0.013123	
0.16	0.007324	0.013428	0.021057	0.015869	0.008850	0.010376	0.008850	0.009766	
0.17	0.009155	0.013428	0.018311	0.016479	0.006714	0.010376	0.007935	0.010071	
0.18	0.009460	0.012817	0.018616	0.017395	0.006409	0.009766	0.007324	0.009766	
0.19	0.011292	0.013428	0.014038	0.019531	0.009766	0.006714	0.008240	0.012207	
0.20	0.007935	0.011597	0.020447	0.016479	0.007019	0.010376	0.004578	0.010681	
0.21	0.010376	0.013428	0.020752	0.016479	0.007629	0.007019	0.007629	0.009155	
0.22	0.011597	0.013428	0.020142	0.017700	0.008850	0.011292	0.008850	0.008545	
0.23	0.010071	0.014954	0.021057	0.013123	0.006409	0.010986	0.006714	0.010071	
0.24	0.012817	0.013733	0.020752	0.018921	0.006104	0.010071	0.008240	0.008850	
0.25	0.012817	0.016174	0.018005	0.018311	0.006714	0.009766	0.006714	0.009766	
0.26	0.013733	0.009766	0.020447	0.019836	0.008545	0.005493	0.006104	0.008850	
0.27	0.010071	0.017090	0.016479	0.018311	0.009766	0.009155	0.007019	0.007935	
0.28	0.011292	0.015869	0.018616	0.014954	0.009766	0.007629	0.006104	0.013428	
0.29	0.013733	0.012207	0.019836	0.017700	0.005493	0.009460	0.006714	0.010071	
0.30	0.010071	0.012512	0.018005	0.017090	0.007935	0.008850	0.007019	0.009460	
0.31	0.014343	0.013733	0.017090	0.016479	0.008545	0.006714	0.007324	0.010986	
0.32	0.010376	0.014648	0.020142	0.017090	0.007935	0.009460	0.007629	0.012817	
0.33	0.011902	0.012512	0.017700	0.019531	0.007629	0.010376	0.003357	0.010376	
0.34	0.013123	0.010376	0.020142	0.015259	0.008850	0.006409	0.006104	0.009460	
0.35	0.009460	0.013428	0.018311	0.017395	0.007629	0.007629	0.006714	0.011292	
0.36	0.010986	0.012817	0.022583	0.020142	0.006104	0.007324	0.008545	0.011597	
0.37	0.010376	0.011902	0.020142	0.016479	0.009155	0.007324	0.004883	0.010376	
0.38	0.010986	0.014038	0.016785	0.020142	0.006104	0.008850	0.007324	0.011597	
0.39	0.009155	0.014648	0.018616	0.018616	0.008240	0.008240	0.005798	0.012817	
0.40	0.010071	0.014954	0.016479	0.016785	0.004883	0.007935	0.007629	0.010986	
0.41	0.012207	0.011597	0.020752	0.016174	0.010071	0.007019	0.007629	0.010986	
0.42	0.012817	0.014954	0.016174	0.014343	0.011597	0.008240	0.007935	0.008240	
0.43	0.007324	0.011597	0.017090	0.018311	0.006409	0.006104	0.004883	0.010376	
0.44	0.010986	0.011292	0.017700	0.013428	0.005798	0.009460	0.007935	0.009766	
0.45	0.009155	0.015259	0.018005	0.020752	0.005493	0.007324	0.010376	0.012207	
0.46	0.008545	0.014648	0.020752	0.013123	0.008545	0.007935	0.006104	0.010681	
0.47	0.008850	0.012207	0.017090	0.015869	0.008850	0.009155	0.006714	0.012512	
0.48	0.009766	0.010986	0.021057	0.017090	0.008850	0.010071	0.006409	0.008850	
0.49	0.010071	0.014648	0.020752	0.015869	0.010681	0.008240	0.006409	0.009155	
0.50	0.012207	0.014343	0.020142	0.021362	0.012817	0.007019	0.006714	0.008240	
0.51	0.012207	0.012512	0.016785	0.016479	0.006104	0.007324	0.007935	0.011597	
